year,status,race,no_of_inhalant_abusers_arrested
2003,Total,Chinese,49
2004,Total,Chinese,81
2005,Total,Chinese,48
2006,Total,Chinese,192
2007,Total,Chinese,285
2008,Total,Chinese,278
2009,Total,Chinese,275
2010,Total,Chinese,270
2011,Total,Chinese,81
2012,Total,Chinese,68
2013,Total,Chinese,64
2014,Total,Chinese,56
2015,Total,Chinese,46
2016,Total,Chinese,50
2017,Total,Chinese,20
2018,Total,Chinese,18
2019,Total,Chinese,10
2020,Total,Chinese,16
2021,Total,Chinese,11
2003,Total,Malay,85
2004,Total,Malay,82
2005,Total,Malay,52
2006,Total,Malay,166
2007,Total,Malay,258
2008,Total,Malay,211
2009,Total,Malay,222
2010,Total,Malay,146
2011,Total,Malay,56
2012,Total,Malay,34
2013,Total,Malay,52
2014,Total,Malay,38
2015,Total,Malay,34
2016,Total,Malay,20
2017,Total,Malay,12
2018,Total,Malay,8
2019,Total,Malay,8
2020,Total,Malay,6
2021,Total,Malay,7
2003,Total,Indian,12
2004,Total,Indian,16
2005,Total,Indian,20
2006,Total,Indian,42
2007,Total,Indian,91
2008,Total,Indian,102
2009,Total,Indian,92
2010,Total,Indian,71
2011,Total,Indian,18
2012,Total,Indian,20
2013,Total,Indian,17
2014,Total,Indian,22
2015,Total,Indian,17
2016,Total,Indian,18
2017,Total,Indian,5
2018,Total,Indian,8
2019,Total,Indian,5
2020,Total,Indian,9
2021,Total,Indian,7
2003,Total,Others,3
2004,Total,Others,5
2005,Total,Others,0
2006,Total,Others,3
2007,Total,Others,10
2008,Total,Others,11
2009,Total,Others,11
2010,Total,Others,12
2011,Total,Others,4
2012,Total,Others,1
2013,Total,Others,2
2014,Total,Others,2
2015,Total,Others,3
2016,Total,Others,3
2017,Total,Others,0
2018,Total,Others,0
2019,Total,Others,0
2020,Total,Others,0
2021,Total,Others,0
2003,New,Chinese,34
2004,New,Chinese,44
2005,New,Chinese,27
2006,New,Chinese,136
2007,New,Chinese,165
2008,New,Chinese,167
2009,New,Chinese,177
2010,New,Chinese,179
2011,New,Chinese,29
2012,New,Chinese,25
2013,New,Chinese,23
2014,New,Chinese,22
2015,New,Chinese,15
2016,New,Chinese,16
2017,New,Chinese,4
2018,New,Chinese,4
2019,New,Chinese,2
2020,New,Chinese,4
2021,New,Chinese,2
2003,New,Malay,73
2004,New,Malay,55
2005,New,Malay,39
2006,New,Malay,126
2007,New,Malay,189
2008,New,Malay,154
2009,New,Malay,159
2010,New,Malay,105
2011,New,Malay,29
2012,New,Malay,17
2013,New,Malay,29
2014,New,Malay,17
2015,New,Malay,13
2016,New,Malay,9
2017,New,Malay,3
2018,New,Malay,2
2019,New,Malay,3
2020,New,Malay,2
2021,New,Malay,1
2003,New,Indian,9
2004,New,Indian,11
2005,New,Indian,11
2006,New,Indian,25
2007,New,Indian,68
2008,New,Indian,65
2009,New,Indian,52
2010,New,Indian,47
2011,New,Indian,12
2012,New,Indian,10
2013,New,Indian,8
2014,New,Indian,9
2015,New,Indian,10
2016,New,Indian,7
2017,New,Indian,2
2018,New,Indian,2
2019,New,Indian,0
2020,New,Indian,2
2021,New,Indian,3
2003,New,Others,2
2004,New,Others,5
2005,New,Others,0
2006,New,Others,1
2007,New,Others,7
2008,New,Others,10
2009,New,Others,10
2010,New,Others,8
2011,New,Others,3
2012,New,Others,1
2013,New,Others,1
2014,New,Others,0
2015,New,Others,1
2016,New,Others,0
2017,New,Others,0
2018,New,Others,0
2019,New,Others,0
2020,New,Others,0
2021,New,Others,0
