year,status,gender,no_of_inhalant_abusers_arrested
2003,Total,Male,111
2004,Total,Male,155
2005,Total,Male,102
2006,Total,Male,313
2007,Total,Male,525
2008,Total,Male,469
2009,Total,Male,446
2010,Total,Male,361
2011,Total,Male,124
2012,Total,Male,91
2013,Total,Male,101
2014,Total,Male,87
2015,Total,Male,75
2016,Total,Male,74
2017,Total,Male,29
2018,Total,Male,29
2019,Total,Male,22
2020,Total,Male,23
2021,Total,Male,22
2003,Total,Female,38
2004,Total,Female,29
2005,Total,Female,18
2006,Total,Female,90
2007,Total,Female,119
2008,Total,Female,133
2009,Total,Female,154
2010,Total,Female,138
2011,Total,Female,35
2012,Total,Female,32
2013,Total,Female,34
2014,Total,Female,31
2015,Total,Female,25
2016,Total,Female,17
2017,Total,Female,8
2018,Total,Female,5
2019,Total,Female,1
2020,Total,Female,8
2021,Total,Female,3
2003,New,Male,82
2004,New,Male,98
2005,New,Male,62
2006,New,Male,214
2007,New,Male,337
2008,New,Male,301
2009,New,Male,283
2010,New,Male,231
2011,New,Male,51
2012,New,Male,34
2013,New,Male,37
2014,New,Male,32
2015,New,Male,26
2016,New,Male,23
2017,New,Male,6
2018,New,Male,7
2019,New,Male,4
2020,New,Male,5
2021,New,Male,5
2003,New,Female,36
2004,New,Female,17
2005,New,Female,15
2006,New,Female,74
2007,New,Female,92
2008,New,Female,95
2009,New,Female,115
2010,New,Female,108
2011,New,Female,22
2012,New,Female,19
2013,New,Female,24
2014,New,Female,16
2015,New,Female,13
2016,New,Female,9
2017,New,Female,3
2018,New,Female,1
2019,New,Female,1
2020,New,Female,3
2021,New,Female,1
