year,status,age_group,no_of_inhalant_abusers_arrested
2003,Total,Below 20,117
2004,Total,Below 20,121
2005,Total,Below 20,65
2006,Total,Below 20,309
2007,Total,Below 20,443
2008,Total,Below 20,400
2009,Total,Below 20,427
2010,Total,Below 20,344
2011,Total,Below 20,88
2012,Total,Below 20,56
2013,Total,Below 20,54
2014,Total,Below 20,45
2015,Total,Below 20,26
2016,Total,Below 20,21
2017,Total,Below 20,6
2018,Total,Below 20,4
2019,Total,Below 20,2
2020,Total,Below 20,0
2021,Total,Below 20,0
2003,Total,20-29,15
2004,Total,20-29,35
2005,Total,20-29,23
2006,Total,20-29,38
2007,Total,20-29,72
2008,Total,20-29,70
2009,Total,20-29,68
2010,Total,20-29,65
2011,Total,20-29,20
2012,Total,20-29,18
2013,Total,20-29,27
2014,Total,20-29,20
2015,Total,20-29,20
2016,Total,20-29,12
2017,Total,20-29,12
2018,Total,20-29,7
2019,Total,20-29,6
2020,Total,20-29,6
2021,Total,20-29,5
2003,Total,30-39,11
2004,Total,30-39,23
2005,Total,30-39,25
2006,Total,30-39,43
2007,Total,30-39,75
2008,Total,30-39,69
2009,Total,30-39,46
2010,Total,30-39,32
2011,Total,30-39,20
2012,Total,30-39,18
2013,Total,30-39,23
2014,Total,30-39,19
2015,Total,30-39,23
2016,Total,30-39,22
2017,Total,30-39,3
2018,Total,30-39,11
2019,Total,30-39,8
2020,Total,30-39,7
2021,Total,30-39,6
2003,Total,40-49,6
2004,Total,40-49,4
2005,Total,40-49,6
2006,Total,40-49,12
2007,Total,40-49,49
2008,Total,40-49,55
2009,Total,40-49,51
2010,Total,40-49,51
2011,Total,40-49,24
2012,Total,40-49,29
2013,Total,40-49,28
2014,Total,40-49,25
2015,Total,40-49,20
2016,Total,40-49,29
2017,Total,40-49,12
2018,Total,40-49,5
2019,Total,40-49,1
2020,Total,40-49,7
2021,Total,40-49,5
2003,Total,50-59,0
2004,Total,50-59,1
2005,Total,50-59,1
2006,Total,50-59,1
2007,Total,50-59,5
2008,Total,50-59,8
2009,Total,50-59,8
2010,Total,50-59,7
2011,Total,50-59,6
2012,Total,50-59,2
2013,Total,50-59,3
2014,Total,50-59,7
2015,Total,50-59,10
2016,Total,50-59,4
2017,Total,50-59,3
2018,Total,50-59,7
2019,Total,50-59,5
2020,Total,50-59,9
2021,Total,50-59,7
2003,Total,60 & Above,0
2004,Total,60 & Above,0
2005,Total,60 & Above,0
2006,Total,60 & Above,0
2007,Total,60 & Above,0
2008,Total,60 & Above,0
2009,Total,60 & Above,0
2010,Total,60 & Above,0
2011,Total,60 & Above,1
2012,Total,60 & Above,0
2013,Total,60 & Above,0
2014,Total,60 & Above,2
2015,Total,60 & Above,1
2016,Total,60 & Above,3
2017,Total,60 & Above,1
2018,Total,60 & Above,0
2019,Total,60 & Above,1
2020,Total,60 & Above,2
2021,Total,60 & Above,2
2003,New,Below 20,102
2004,New,Below 20,89
2005,New,Below 20,53
2006,New,Below 20,255
2007,New,Below 20,336
2008,New,Below 20,304
2009,New,Below 20,334
2010,New,Below 20,281
2011,New,Below 20,55
2012,New,Below 20,39
2013,New,Below 20,39
2014,New,Below 20,27
2015,New,Below 20,18
2016,New,Below 20,15
2017,New,Below 20,4
2018,New,Below 20,3
2019,New,Below 20,1
2020,New,Below 20,0
2021,New,Below 20,0
2003,New,20-29,6
2004,New,20-29,15
2005,New,20-29,14
2006,New,20-29,19
2007,New,20-29,38
2008,New,20-29,37
2009,New,20-29,30
2010,New,20-29,29
2011,New,20-29,9
2012,New,20-29,4
2013,New,20-29,7
2014,New,20-29,5
2015,New,20-29,5
2016,New,20-29,2
2017,New,20-29,1
2018,New,20-29,0
2019,New,20-29,3
2020,New,20-29,0
2021,New,20-29,1
2003,New,30-39,7
2004,New,30-39,8
2005,New,30-39,8
2006,New,30-39,11
2007,New,30-39,28
2008,New,30-39,28
2009,New,30-39,17
2010,New,30-39,8
2011,New,30-39,4
2012,New,30-39,5
2013,New,30-39,10
2014,New,30-39,9
2015,New,30-39,8
2016,New,30-39,6
2017,New,30-39,1
2018,New,30-39,3
2019,New,30-39,1
2020,New,30-39,3
2021,New,30-39,4
2003,New,40-49,3
2004,New,40-49,2
2005,New,40-49,2
2006,New,40-49,3
2007,New,40-49,24
2008,New,40-49,23
2009,New,40-49,14
2010,New,40-49,19
2011,New,40-49,3
2012,New,40-49,5
2013,New,40-49,5
2014,New,40-49,3
2015,New,40-49,4
2016,New,40-49,6
2017,New,40-49,1
2018,New,40-49,0
2019,New,40-49,0
2020,New,40-49,1
2021,New,40-49,0
2003,New,50-59,0
2004,New,50-59,1
2005,New,50-59,0
2006,New,50-59,0
2007,New,50-59,3
2008,New,50-59,4
2009,New,50-59,3
2010,New,50-59,2
2011,New,50-59,1
2012,New,50-59,0
2013,New,50-59,0
2014,New,50-59,3
2015,New,50-59,4
2016,New,50-59,2
2017,New,50-59,1
2018,New,50-59,2
2019,New,50-59,0
2020,New,50-59,2
2021,New,50-59,1
2003,New,60 & Above,0
2004,New,60 & Above,0
2005,New,60 & Above,0
2006,New,60 & Above,0
2007,New,60 & Above,0
2008,New,60 & Above,0
2009,New,60 & Above,0
2010,New,60 & Above,0
2011,New,60 & Above,1
2012,New,60 & Above,0
2013,New,60 & Above,0
2014,New,60 & Above,1
2015,New,60 & Above,0
2016,New,60 & Above,1
2017,New,60 & Above,1
2018,New,60 & Above,0
2019,New,60 & Above,0
2020,New,60 & Above,2
2021,New,60 & Above,0
